TypeError: A() got an unexpected keyword argument B<tab>model = DecisionTreeRegressor(B=3)	Bはスペルミス<tab>max_depth=...に直す
TypeError: A is an invalid key<tab>X = df[['week_num'],['weather_num'],['temperature'],['kcal']]	複数列を指定する際の個々の[]は不要<tab>df[[列名1,列名2,...]]にする
AttributeError: A object has no attribute B<tab>b=a.B	Bの使い方が違う<tab>B(a)のように書く
ValueError: invalid literal for A() with base B: C<tab>A,B,C=map(C(input()))	'3 4 5'はC型に変換できない<tab>C(input())をmap(C,input().split())に直す
TypeError: A is an invalid key<tab>X = df[[column],[column],[column]]	複数列を指定する際の個々の[]は不要<tab>df[[列名1,列名2,...]]にする
ValueError: too many values to unpack (expected A)<tab>N, A, B = map(str, input().split())	入力した空白区切りの文字列の個数がA個ではない<tab>入力を見直すか、コードの変数の数を入力に対応した数に変更する
NameError: name A is not defined<tab>X_train, X_test, y_train, y_test = A(X, y, test_size=0.5, random_state=0)	Aをimportしていない<tab>from sklearn.model_selection import A する
NameError: name A is not defined<tab>print(A)	変数Aが見つからない<tab>A=...のように定義する
ValueError: Expected 2D array, got 1D array instead:Aarray=B.CReshape your data either using array.reshape(-D, E) if your data has a single feature or array.reshape(F, -G) if it contains a single sample.<tab>model.fit(X, y)	sklearnのfit()では、DataFrame型やnumpyの行列形式（縦ベクトル）しか使用できない<tab>二重括弧をつけるか、reshape(-A,A)をつける
"KeyError: ""A not in index""<tab>X = df_train[['year', 'month', 'day', 'week', 'soldout', 'kcal', 'payday', 'weather', 'remarks','temperature',""A""]]"	データフレームdf_trainに列'A'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
"KeyError: ""None of A are in the B""<tab>X = df[['column']]  # ひとつ選ぶ"	データフレームdfに列'column'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
NameError: name A is not defined<tab>df = pd,A('boston.csv')	pd,Aの,が違う<tab>pd.A(ファイル名)でファイルを読み込む
AttributeError: type object A has no attribute B<tab>prB(B.replace('1', '9').replace('9', '1'))	B関数の使い方が違う<tab>B型にする場合はB()にする
NameError: name A is not defined<tab>A.Series.value_counts()	Aをimportしていない<tab>import Aする
ValueError: Expected 2D array, got scalar array instead:Aarray=B.CReshape your data either using array.reshape(-D, E) if your data has a single feature or array.reshape(F, -G) if it contains a single sample.<tab>model.fit(X[B][2], y)	sklearnのfit()では、DataFrame型やnumpyの行列形式（縦ベクトル）しか使用できない<tab>二重括弧をつけるか、reshape(-B,B)をつける
ValueError: invalid literal for A() with base B: C<tab>A,B=map(C(input()))	'100 80'はC型に変換できない<tab>C(input())をmap(C,input().split())に直す
ValueError: too many values to unpack (expected A)<tab>S,T=str(input())	入力した空白区切りの文字列の個数がA個ではない<tab>入力を見直すか、コードの変数の数を入力に対応した数に変更する
NameError: name A is not defined<tab>plt.figure(A[7,7])	Aの使い方が違う<tab>A=(値,値)のようにする
NameError: name A is not defined<tab>a=S[-iAt(A):]	変数Aが見つからない<tab>A=...のように定義する
NameError: name A is not defined<tab>N=A	変数Aが見つからない<tab>A=...のように定義する
AttributeError: A object has no attribute B<tab>A,B,C=map(int,input().A())	splitのスペルが違う<tab>splitに直す
KeyError: (A, B)<tab>X = df['kcal','B']  # 価格以外を全て説明変数に	カラム名は1つしか指定できない<tab>2つ以上のカラムを取り出したい時には、二重括弧を使う
TypeError: A() got an unexpected keyword argument B<tab>plt.figure(B=(6,6))	Bではグラフのサイズを指定できない<tab>plt.figure(figsize=...)に直す
NameError: name A is not defined<tab>print(f'{A} 決定係数(R2):', r2)	変数Aが見つからない<tab>Aを定義するまたはcolumnに直す
"KeyError: ""None of A are in the B""<tab>X = df[['価格']]  # ひとつ選ぶ"	データフレームdfに列'価格'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
NameError: name A is not defined<tab>print(A)	変数Aが見つからない<tab>A=...のように定義する
AttributeError: A object has no attribute B<tab>i=a.B(max(a))	indexのスペルが違う<tab>Bをindexに直す
TypeError: can only concatenate str (not A) to str<tab>print(round(X+0.5))	Xと0.5の型が異なるので演算不可<tab>文字列または数値に揃える
AttributeError: A object has no attribute B<tab>N = B().input()	B型の入力コードが違う<tab>N=B(input())に直す
ValueError: invalid literal for A() with base B: C<tab>A,B=map(C,input().split())	区切り文字の設定が','になっていない<tab>map(C,input().split())をmap(C,input().split(','))に直す
TypeError: A object cannot be interpreted as an integer<tab>range('a')	rangeの中に文字列が入っている<tab>rangeの中に数値データを指定する
ValueError: Length mismatch: Expected axis has A elements, new values have B elements<tab>df_uid_all.columns = column_list	元のデータフレームは1601列だけど与えられた要素はB個しかない<tab>要素をA個にしよう
AttributeError: A object has no attribute B<tab>k_l.append([i.B])	リスト.にできない<tab>リストの中身は,を区切る
FileNotFoundError: A No such file or directory: B<tab>df = pd.read_csv('B')	Bが見つからない<tab>ファイルのダウンロードし、ファイル名やファイルパスを確認をする
AttributeError: A object has no attribute B<tab>model.A	Bではmodel.feature_importances_は使えない<tab>モデルをDecisionTreeRegressorに変える
KeyError: (A, B, C, D)<tab>columns = df['kcal', 'weather_num', 'D', 'temperature']	カラム名は1つしか指定できない<tab>2つ以上のカラムを取り出したい時には、二重括弧を使う
IndexError: list index out of range<tab>if s[y][i]=='.':	リストsの指定可能なindexの範囲を超えている<tab>リストsの指定index見直す
"KeyError: ""None of A are in the B""<tab>X = df[['低所得']]"	データフレームdfに列'低所得'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
AttributeError: A object has no attribute B<tab>df.B()	dfを表示させるプログラムが間違っている<tab>display(df)に直す（1つならdfだけでも可）
TypeError: A object is not iterable<tab>a,b=map(int,input().split)	()が不足している<tab>map(int,iunput().split())にする
KeyError: (A, B)<tab>rho = corr(df[column,column], df['住宅価格'])	カラム名は1つしか指定できない<tab>2つ以上のカラムを取り出したい時には、二重括弧を使う
NameError: name A is not defined<tab>A()	A()のみでは使用できない<tab>データフレーム名.A()にする
ValueError: could not convert string to float: A<tab>model.fit(X, y)	文字列を数値に変えないと処理できない<tab>文字列を数値に変えるデータ前処理を行う
AttributeError: A object has no attribute B<tab>for column in df.B[:-1]:	データフレームには'B'という要素はない<tab>df.B[:-1]:をdf.columns[:-1]:に直す
"KeyError: ""A not in index""<tab>X = df[['部屋数', 'A', '資産税']]"	データフレームdfに列'A'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
NameError: name A is not defined<tab>print(A)	変数Aが見つからない<tab>A=...のように定義する
NameError: name A is not defined<tab>sns.kdeplot(df.groupby('学習時間').get_group(1)['G3'], shade = True, color = A)	変数Aは見つからない<tab>A=...で定義するまたは'A'にする
"KeyError: ""A not in index""<tab>df[['kcal','weather_num','A']]"	データフレームdfに列'A'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
NameError: name A is not defined<tab>means = A	変数Aが見つからない<tab>A=...のように定義する
"KeyError: ""A not found in axis""<tab>df.drop('', axis=1, inplace=True)"	dropする列が''になっている<tab>dropする列を決めて'削除したい列名'にする
AttributeError: A object has no attribute B<tab>X = df[df.A[:-1]]	dfがB型なためcolumnsがない<tab>dfの型を見直す
"FileNotFoundError: A No such file or directory: B<tab>X_train_numa_p = pd.read_csv(""A"")"	Aが見つからない<tab>ファイルのダウンロードし、ファイル名やファイルパスを確認をする
NameError: name A is not defined<tab>rho = corr(df[A,column2], df['住宅価格'])	変数Aが見つからない<tab>A=...のように定義する
AttributeError: A object has no attribute B<tab>A,B,C=map(int,input.A())	inputの後ろに()がない<tab>map(型,input(),A())に直す
