TypeError: A() got an unexpected keyword argument B<sep>model = DecisionTreeRegressor(maxdeepth=3)	maxdeepthはスペルミス<sep>max_depth=...に直す
TypeError: A is an invalid key<sep>X = df[['week_num'],['weather_num'],['temperature'],['kcal']]	複数列を指定する際の個々の[]は不要<sep>df[[列名1,列名2,...]]にする
AttributeError: A object has no attribute B<sep>b=a.B	Bの使い方が違う<sep>B(a)のように書く
ValueError: invalid literal for A() with base B: C<sep>A,B,C=map(int(input()))	'3 4 5'はint型に変換できない<sep>int(input())をmap(int,input().split())に直す
TypeError: A is an invalid key<sep>X = df[[column],[column],[column]]	複数列を指定する際の個々の[]は不要<sep>df[[列名1,列名2,...]]にする
ValueError: too many values to unpack (expected A)<sep>N, A, B = map(str, input().split())	入力した空白区切りの文字列の個数がA個ではない<sep>入力を見直すか、コードの変数の数を入力に対応した数に変更する
NameError: name A is not defined<sep>X_train, X_test, y_train, y_test = A(X, y, test_size=0.5, random_state=0)	Aをimportしていない<sep>from sklearn.model_selection import A する
NameError: name A is not defined<sep>print(A)	変数Aが見つからない<sep>A=...のように定義する
ValueError: Expected 2D array, got 1D array instead:Aarray=B.CReshape your data either using array.reshape(-D, E) if your data has a single feature or array.reshape(F, -G) if it contains a single sample.<sep>model.fit(X, y)	sklearnのfit()では、DataFrame型やnumpyの行列形式（縦ベクトル）しか使用できない<sep>二重括弧をつけるか、reshape(-C,C)をつける
"KeyError: ""A not in index""<sep>X = df_train[['year', 'month', 'day', 'week', 'soldout', 'kcal', 'payday', 'weather', 'remarks','temperature',""A""]]"	データフレームdf_trainに列'A'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
"KeyError: ""None of A are in the B""<sep>X = df[['column']]  # ひとつ選ぶ"	データフレームdfに列'column'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
NameError: name A is not defined<sep>df = pd,A('boston.csv')	pd,Aの,が違う<sep>pd.A(ファイル名)でファイルを読み込む
AttributeError: type object A has no attribute B<sep>prB(B.replace('1', '9').replace('9', '1'))	B関数の使い方が違う<sep>B型にする場合はB()にする
NameError: name A is not defined<sep>A.Series.value_counts()	Aをimportしていない<sep>import Aする
ValueError: Expected 2D array, got scalar array instead:Aarray=B.CReshape your data either using array.reshape(-D, E) if your data has a single feature or array.reshape(F, -G) if it contains a single sample.<sep>model.fit(X[1][2], y)	sklearnのfit()では、DataFrame型やnumpyの行列形式（縦ベクトル）しか使用できない<sep>二重括弧をつけるか、reshape(-1,1)をつける
ValueError: invalid literal for A() with base B: C<sep>A,B=map(int(input()))	'C0 80'はint型に変換できない<sep>int(input())をmap(int,input().split())に直す
ValueError: too many values to unpack (expected A)<sep>S,T=str(input())	入力した空白区切りの文字列の個数がA個ではない<sep>入力を見直すか、コードの変数の数を入力に対応した数に変更する
NameError: name A is not defined<sep>plt.figure(A[7,7])	Aの使い方が違う<sep>A=(値,値)のようにする
NameError: name A is not defined<sep>a=S[-iAt(A):]	変数Aが見つからない<sep>A=...のように定義する
NameError: name A is not defined<sep>N=A	変数Aが見つからない<sep>A=...のように定義する
AttributeError: A object has no attribute B<sep>A,B,C=map(int,input().B())	splitのスペルが違う<sep>splitに直す
KeyError: (A, B)<sep>X = df['kcal','B']  # 価格以外を全て説明変数に	カラム名は1つしか指定できない<sep>2つ以上のカラムを取り出したい時には、二重括弧を使う
TypeError: A() got an unexpected keyword argument B<sep>plt.figure(figuresize=(6,6))	figuresizeではグラフのサイズを指定できない<sep>plt.figure(figsize=...)に直す
NameError: name A is not defined<sep>print(f'{A} 決定係数(R2):', r2)	変数Aが見つからない<sep>Aを定義するまたはcolumnに直す
"KeyError: ""None of A are in the B""<sep>X = df[['価格']]  # ひとつ選ぶ"	データフレームdfに列'価格'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
NameError: name A is not defined<sep>print(A)	変数Aが見つからない<sep>A=...のように定義する
AttributeError: A object has no attribute B<sep>i=a.B(max(a))	indexのスペルが違う<sep>Bをindexに直す
TypeError: can only concatenate str (not A) to str<sep>print(round(X+0.5))	Xと0.5の型が異なるので演算不可<sep>文字列または数値に揃える
AttributeError: A object has no attribute B<sep>N = B().input()	B型の入力コードが違う<sep>N=B(input())に直す
ValueError: invalid literal for A() with base B: C<sep>A,B=map(int,input().split())	区切り文字の設定が','になっていない<sep>map(int,input().split())をmap(int,input().split(','))に直す
TypeError: A object cannot be interpreted as an integer<sep>range('a')	rangeの中に文字列が入っている<sep>rangeの中に数値データを指定する
ValueError: Length mismatch: Expected axis has A elements, new values have B elements<sep>df_uid_all.columns = column_list	元のデータフレームはB列だけど与えられた要素は41個しかない<sep>要素をB個にしよう
AttributeError: A object has no attribute B<sep>k_l.append([i.B])	リスト.にできない<sep>リストの中身は,を区切る
FileNotFoundError: A No such file or directory: B<sep>df = pd.read_csv('cancer.csv')	cancer.csvが見つからない<sep>ファイルのダウンロードし、ファイル名やファイルパスを確認をする
AttributeError: A object has no attribute B<sep>model.B	LinearRegressionではmodel.Bは使えない<sep>モデルをDecisionTreeRegressorに変える
KeyError: (A, B, C, D)<sep>columns = df['kcal', 'weather_num', 'D', 'temperature']	カラム名は1つしか指定できない<sep>2つ以上のカラムを取り出したい時には、二重括弧を使う
IndexError: list index out of range<sep>if s[y][i]=='.':	リストsの指定可能なindexの範囲を超えている<sep>リストsの指定index見直す
"KeyError: ""None of A are in the B""<sep>X = df[['低所得']]"	データフレームdfに列'低所得'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
AttributeError: A object has no attribute B<sep>df.B()	dfを表示させるプログラムが間違っている<sep>display(df)に直す（1つならdfだけでも可）
TypeError: A object is not iterable<sep>a,b=map(int,input().split)	()が不足している<sep>map(int,iunput().split())にする
KeyError: (A, B)<sep>rho = corr(df[column,column], df['住宅価格'])	カラム名は1つしか指定できない<sep>2つ以上のカラムを取り出したい時には、二重括弧を使う
NameError: name A is not defined<sep>A()	A()のみでは使用できない<sep>データフレーム名.A()にする
ValueError: could not convert string to float: A<sep>model.fit(X, y)	文字列を数値に変えないと処理できない<sep>文字列を数値に変えるデータ前処理を行う
AttributeError: A object has no attribute B<sep>for column in df.B[:-1]:	データフレームには'B'という要素はない<sep>df.B[:-1]:をdf.columns[:-1]:に直す
"KeyError: ""A not in index""<sep>X = df[['部屋数', 'A', '資産税']]"	データフレームdfに列'A'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
NameError: name A is not defined<sep>print(A)	変数Aが見つからない<sep>A=...のように定義する
NameError: name A is not defined<sep>sns.kdeplot(df.groupby('学習時間').get_group(1)['G3'], shade = True, color = A)	変数Aは見つからない<sep>A=...で定義するまたは'A'にする
"KeyError: ""A not in index""<sep>df[['kcal','weather_num','A']]"	データフレームdfに列'A'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
NameError: name A is not defined<sep>means = A	変数Aが見つからない<sep>A=...のように定義する
"KeyError: ""A not found in axis""<sep>df.drop('', axis=1, inplace=True)"	dropする列が''になっている<sep>dropする列を決めて'削除したい列名'にする
AttributeError: A object has no attribute B<sep>X = df[df.B[:-1]]	dfがint型なためBがない<sep>dfの型を見直す
"FileNotFoundError: A No such file or directory: B<sep>X_train_numa_p = pd.read_csv(""/Users:/shion/Desktop/OJT/numa-chan/train_Numa_print.csv"")"	/Users:/shion/Desktop/OJT/numa-chan/train_Numa_print.csvが見つからない<sep>ファイルのダウンロードし、ファイル名やファイルパスを確認をする
NameError: name A is not defined<sep>rho = corr(df[A,column2], df['住宅価格'])	変数Aが見つからない<sep>A=...のように定義する
AttributeError: A object has no attribute B<sep>A,B,C=map(int,input.split())	inputの後ろに()がない<sep>map(型,input(),split())に直す
TypeError: A object is not callable<sep>X = df(['通勤', '教員'])  # 説明変数	データフレームからのデータの抽出方法が違う<sep>丸かっこ () を角かっこ [] に直す
AttributeError: A object has no attribute B<sep>model.B	importances_のスペルが違う<sep>inportances_をimportances_に直す
"KeyError: ""None of A are in the B""<sep>X = df[['犯罪数']]"	データフレームdfに列'犯罪数'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
NameError: name A is not defined<sep>pred_sub = A - pred	変数Aが見つからない<sep>A...のように定義する
NameError: name A is not defined<sep>X = df[[A]]	変数Aが見つからない<sep>変数Aを定義する
