0	0
今回の範囲は難しく進まなかった。	今回の範囲は難しかったので、復習してみてください。
・198 POW?今回解いた問題の判定がTELばかりで、メンタルがやられました。	そんな日もありますよ。落ち着いて考えてみてください。
C問題は実行時間超過になってしまい、悔しかったです。	時間をおいてまた取り組んでみてはいかがですか？
今週の内容とても難しかったです。	そんな時は、落ち着いて少しずつ考えてみてください。
でも書ける気がしません。	大丈夫です。書けますよ！
関数が苦手なので理解するのが難しかったです。	関数は難しいので、また復習してみてください。
他にもこんな人がいるのか気になります。	自分のペースで進めていけば大丈夫ですよ。
かなり遅れているので不安ですが、頑張ります。	自分のペースで落ち着いてやっていきましょう。
その週ごとに進めていけばいいと思っていましたが、友人はかなり進んでいたので不安です。	大丈夫ですよ、焦らず自分のペースで進めていきましょう。
Nが1000の場合も考えていたため式が少し複雑になってしまいました。	そんな時は、落ち着いて問題文を読んでみてくださいね。
一昨日のABC199に参加しましたが、1問目しか解けず心が折れました。	大丈夫ですよ、だんだん解けるようになりますよ。
やはり例年通り最初のころのやる気がなくなってしまう...。	毎日少しでも取り組んで行きましょう！
演習問題も2問目で早速つまづいてしまい、これが”挫折”か......と悟った。	大丈夫ですよ、落ち着いて考えてみてください。
焦りしかない今回の授業のブレイクアウトルームで、個別にメッセージしてもらえ、そこから質問できたので、つまづいていたところをクリアできた。	質問をすることも良いですよね。
友達はもう30問目に進んでいると聞き少し焦り始めてきました。	大丈夫ですよ、自分のペースで進めていきましょう。
あまり進められてないので焦ってます。	大丈夫ですよ、少しずつ取り組んでみてください。
アップルパイとディスカウントをやって心折れました。	そういう時は、一旦他のことに取り組むのはいかがですか？
次回以降も解けるか不安。	ゆっくり考えれば大丈夫です！
特に差分の和で、入力する数(N)が毎回違うのが難しかったです。	焦らず頑張りましょう。
スマホ中毒を頑張って考えていたのですが、考えるべき例外が多すぎて挫折しました。	一旦時間をおいてまた考えてみてください！
興味があったので授業時間外に使用したところ何度もエラーを連発しとても悲しかったです。	そういう時もあありますよ。ゆっくり問題文を読んでみてくださいね。
