,date,line,emsg
0,2022-04-30 08:25:52,1/0,ZeroDivisionError: division by zero
1,2022-04-30 08:42:10,"get_ipython().run_cell_magic('kogi', '', '')","UsageError: %%kogi is a cell magic, but the cell body is empty."
2,2022-04-30 15:16:33,print(a),NameError: name 'a' is not defined
3,2022-05-02 03:56:39,"kogi_login(ai_key='1fnp38_4EYzTU39qtvj7QWbWZ1c5XFw_m', class_name='大学院得論')",NameError: name 'kogi_login' is not defined
4,2022-05-02 04:14:03,type(datetime),NameError: name 'datetime' is not defined
5,2022-05-02 04:14:20,type(datetime[0]),NameError: name 'datetime' is not defined
6,2022-05-02 04:54:39,"plt.boxplot([df['教育内容'], df['通いやすさ'], df['評判の良さ']])",KeyError: '教育内容'
7,2022-05-02 04:56:35,plt.hist(df['教育内容']),KeyError: '教育内容'
8,2022-05-02 05:03:01,"df_2[""dateint""] = df_2[""datetime""].dt.strftime('%Y%m%d')",AttributeError: Can only use .dt accessor with datetimelike values
9,2022-05-02 05:09:17,"df_2[""datetime""].strftime('%Y%m%d')",AttributeError: 'Series' object has no attribute 'strftime'
10,2022-05-02 05:27:07,df.groupby('兄弟姉妹')[G3].describe(),NameError: name 'G3' is not defined
11,2022-05-02 05:43:39,"sns.pairplot(df['母学歴', '父学歴', '母職業', '父職業'])","KeyError: ('母学歴', '父学歴', '母職業', '父職業')"
12,2022-05-02 07:13:37,"model.fit(X_train,y_train) ",NameError: name 'X_train' is not defined
13,2022-05-02 07:33:06,a = input().sprit(),AttributeError: 'str' object has no attribute 'sprit'
14,2022-05-02 09:58:30,print(a),NameError: name 'a' is not defined
15,2022-05-02 10:18:28,print(a),NameError: name 'a' is not defined
16,2022-05-02 11:00:38,sin(1),NameError: name 'sin' is not defined
17,2022-05-02 11:10:55,1/0,ZeroDivisionError: division by zero
18,2022-05-02 11:40:24,1/0,ZeroDivisionError: division by zero
19,2022-05-02 15:26:11,range('a'),TypeError: 'str' object cannot be interpreted as an integer
20,2022-05-02 15:40:26,'9' in 99,TypeError: argument of type 'int' is not iterable
21,2022-05-02 16:18:36,"model.fit(X, y)",ValueError: could not convert string to float: '快晴'
22,2022-05-03 04:29:10,X = int(input()),ValueError: invalid literal for int() with base 10: 'dIfFiCuLt'
23,2022-05-03 06:56:53,"a,b,c,d,x,y = map(int, input().split())","ValueError: not enough values to unpack (expected 6, got 4)"
