,line,emsg
0,1/0,ZeroDivisionError: division by zero
1,"get_ipython().run_cell_magic('kogi', '', '')","UsageError: %%kogi is a cell magic, but the cell body is empty."
2,print(a),NameError: name 'a' is not defined
3,"kogi_login(ai_key='1fnp38_4EYzTU39qtvj7QWbWZ1c5XFw_m', class_name='大学院得論')",NameError: name 'kogi_login' is not defined
4,type(datetime),NameError: name 'datetime' is not defined
5,"plt.boxplot([df['教育内容'], df['通いやすさ'], df['評判の良さ']])",KeyError: '教育内容'
6,"df_2[""dateint""] = df_2[""datetime""].dt.strftime('%Y%m%d')",AttributeError: Can only use .dt accessor with datetimelike values
7,"df_2[""datetime""].strftime('%Y%m%d')",AttributeError: 'Series' object has no attribute 'strftime'
8,df.groupby('兄弟姉妹')[G3].describe(),NameError: name 'G3' is not defined
9,"sns.pairplot(df['母学歴', '父学歴', '母職業', '父職業'])","KeyError: ('母学歴', '父学歴', '母職業', '父職業')"
10,"model.fit(X_train,y_train) ",NameError: name 'X_train' is not defined
11,a = input().sprit(),AttributeError: 'str' object has no attribute 'sprit'
12,sin(1),NameError: name 'sin' is not defined
13,range('a'),TypeError: 'str' object cannot be interpreted as an integer
14,'9' in 99,TypeError: argument of type 'int' is not iterable
15,"model.fit(X, y)",ValueError: could not convert string to float: '快晴'
16,X = int(input()),ValueError: invalid literal for int() with base 10: 'dIfFiCuLt'
17,"a,b,c,d,x,y = map(int, input().split())","ValueError: not enough values to unpack (expected 6, got 4)"
18,"os.chdir(""C:\\PyTest"") # 作業用ディレクトリを変更",FileNotFoundError: [Errno 2] No such file or directory: 'C:\\PyTest'
19,  if i>n:,KeyboardInterrupt: 
20,  ykn=(d*1.01),NameError: name 'd' is not defined
21,"sns.countplot(x='自由時間', data='G3')",AttributeError: 'str' object has no attribute 'get'
22,"sns.countplot(x='自由時間', y='G3')",ValueError: Cannot pass values for both `x` and `y`
23,"sns.plot(df, x='外出', y='G3')",AttributeError: module 'seaborn' has no attribute 'plot'
24,"    plt.subplot(4,4,i+1)","ValueError: num must be 1 <= num <= 16, not 17"
25,for i in range(n):,TypeError: 'tuple' object cannot be interpreted as an integer
