,line,emsg
0,print(a),NameError: name 'a' is not defined
1,"get_ipython().run_cell_magic('kogi', '', '')","UsageError: %%kogi is a cell magic, but the cell body is empty."
2,1/0,ZeroDivisionError: division by zero
3,a = input().sprit(),AttributeError: 'str' object has no attribute 'sprit'
4,plt.hist(df['教育内容']),KeyError: '教育内容'
5,"kogi_login(ai_key='1fnp38_4EYzTU39qtvj7QWbWZ1c5XFw_m', class_name='大学院得論')",NameError: name 'kogi_login' is not defined
6,"df_2[""dateint""] = df_2[""datetime""].dt.strftime('%Y%m%d')",AttributeError: Can only use .dt accessor with datetimelike values
7,"sns.pairplot(df['母学歴', '父学歴', '母職業', '父職業'])","KeyError: ('母学歴', '父学歴', '母職業', '父職業')"
8,"model.fit(X_train,y_train) ",NameError: name 'X_train' is not defined
9,range('a'),TypeError: 'str' object cannot be interpreted as an integer
10,sin(1),NameError: name 'sin' is not defined
11,"df_2[""datetime""].strftime('%Y%m%d')",AttributeError: 'Series' object has no attribute 'strftime'
12,df.groupby('兄弟姉妹')[G3].describe(),NameError: name 'G3' is not defined
13,type(datetime[0]),NameError: name 'datetime' is not defined
14,"model.fit(X, y)",ValueError: could not convert string to float: '快晴'
15,'9' in 99,TypeError: argument of type 'int' is not iterable
16,"a,b,c,d,x,y = map(int, input().split())","ValueError: not enough values to unpack (expected 6, got 4)"
17,X = int(input()),ValueError: invalid literal for int() with base 10: 'dIfFiCuLt'
18,"os.chdir(""C:\\PyTest"") # 作業用ディレクトリを変更",FileNotFoundError: [Errno 2] No such file or directory: 'C:\\PyTest'
19,"sns.countplot(x='自由時間', y='G3')",ValueError: Cannot pass values for both `x` and `y`
20,"sns.countplot(x='自由時間', data='G3')",AttributeError: 'str' object has no attribute 'get'
21,"sns.plot(df, x='外出', y='G3')",AttributeError: module 'seaborn' has no attribute 'plot'
22,  ykn=(d*1.01),NameError: name 'd' is not defined
23,"    plt.subplot(4,4,i+1)","ValueError: num must be 1 <= num <= 16, not 17"
24,  if i>n:,KeyboardInterrupt: 
25,"    rho = corr(df[column], df['G3'])",NameError: name 'corr' is not defined
26,  if s[y][i]=='.':,IndexError: list index out of range
27,"  s=s+[list(map(int,input().split()))]",ValueError: invalid literal for int() with base 10: '##..'
28,  if moji.index(x[i]+1)!=x[i+1]:,"TypeError: can only concatenate str (not ""int"") to str"
29,while ma<w:,TypeError: '<' not supported between instances of 'list' and 'int'
30,    ss[i]=ss[i]+[s[i+j]],"TypeError: can only concatenate str (not ""list"") to str"
31,for i in range(n):,TypeError: 'tuple' object cannot be interpreted as an integer
32,  s=s+[list(map(input().split()))],TypeError: map() must have at least two arguments.
33,    1[i][1]=w-g,TypeError: 'int' object is not subscriptable
34,if sum(set(l))!=0:,TypeError: unsupported operand type(s) for +: 'int' and 'str'
35,"df[['アルコール','パリピ']],value_counts()",NameError: name 'value_counts' is not defined
36,b=a.sorted,AttributeError: 'list' object has no attribute 'sorted'
37,  t=t+int([st[1]]),"TypeError: int() argument must be a string, a bytes-like object or a number, not 'list'"
38,"sns.pairplot(df, hue='アルコール')",KeyError: 'アルコール'
39,  i=a.indet(max(a)),AttributeError: 'list' object has no attribute 'indet'
40,      if (a[i][0]-a[k][0])*(s[j][1]-s[k][1])!=(a[j][0]-a[k][0])*(a[i][1]-a[k][1]):,TypeError: unsupported operand type(s) for -: 'str' and 'str'
41,  if moji.index(str(int(x[i])+1))!=x[i+1]:,ValueError: substring not found
42,"sns.histplot(x='G3', hue='外出', data=df, binwidth=1, palette={'1':'red', '2':'green', '3':'blue', '4':'yellow', '5':'purple'})","ValueError: The palette dictionary is missing keys: {1, 2, 3, 4, 5}"
43,df.groupby('兄弟姉妹')['G3'].describe(),"ValueError: index must be a MultiIndex to unstack, <class 'pandas.core.indexes.base.Index'> was passed"
44,"sns.histplot(x='G3', hue='性別', data=df, binwidth=1, palette={'1':'red', '2':'green', '3':'blue', '4':'yellow', '5':'purple'})","ValueError: The palette dictionary is missing keys: {'女性', '男性'}"
45,"sns.distplot(df, x='アルコール', row='G3')",TypeError: distplot() got an unexpected keyword argument 'row'
46,max(x*y),TypeError: 'int' object is not iterable
47,"sns.boxplot(x=df['性別'], y=df['G3'],color=['red','blue'])","ValueError: Invalid RGBA argument: ['red', 'blue']"
48,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
